timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/09/17 10:46:52.793, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 67 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:46:57.794, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 98 %, 64 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:02.795, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 98 %, 65 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:07.796, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 98 %, 64 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:12.797, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 63, 98 %, 64 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:17.798, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 71 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:22.799, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:27.800, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:32.801, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 68 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:37.802, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:42.803, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 95 %, 69 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:47.803, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:52.804, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:47:57.805, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 94 %, 68 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:02.806, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 96 %, 69 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:07.807, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 96 %, 69 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:12.808, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 97 %, 69 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:17.809, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:22.810, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 67 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:27.811, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 97 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:32.812, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 61, 97 %, 70 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:37.813, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 95 %, 69 %, 7948 MiB, 2850 MiB, 5098 MiB
2021/09/17 10:48:42.814, NVIDIA GeForce RTX 3070, 00000000:01:00.0, 470.57.02, P2, 3, 3, 62, 94 %, 68 %, 7948 MiB, 2850 MiB, 5098 MiB
